Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RestWebServiceSuite,,,2019-01-04 17:48:23,2019-01-04 17:48:33,10.926s,PASSED
,,,,,,
Test Cases/RestWebServiceTests/GetBankDetail,,,2019-01-04 17:48:23,2019-01-04 17:48:27,3.910s,PASSED
"sendRequest(findTestObject(""SoapWebService/getBank""))",,,2019-01-04 17:48:24,2019-01-04 17:48:27,3.367s,PASSED
,,,,,,
Test Cases/RestWebServiceTests/ListUsersTest1,,,2019-01-04 17:48:27,2019-01-04 17:48:30,3.057s,PASSED
"sendRequest(findTestObject(""RestWebService/ListUsers""))",,,2019-01-04 17:48:27,2019-01-04 17:48:29,1.715s,PASSED
"response = sendRequestAndVerify(findTestObject(""RestWebService/ListUsers""), STOP_ON_FAILURE)",,,2019-01-04 17:48:29,2019-01-04 17:48:30,1.015s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name	"", ""Charles"")",,,2019-01-04 17:48:30,2019-01-04 17:48:30,0.019s,PASSED
"verifyElementPropertyValue(response, ""data[2].id	"", ""6"")",,,2019-01-04 17:48:30,2019-01-04 17:48:30,0.014s,PASSED
"verifyElementsCount(response, ""data"", 3)",,,2019-01-04 17:48:30,2019-01-04 17:48:30,0.020s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-01-04 17:48:30,2019-01-04 17:48:30,0.001s,PASSED
,,,,,,
Test Cases/RestWebServiceTests/TestHTTPMethods,,,2019-01-04 17:48:30,2019-01-04 17:48:33,3.485s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebService/ListUsers""))",,,2019-01-04 17:48:30,2019-01-04 17:48:31,1.222s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebService/CreateUser""))",,,2019-01-04 17:48:31,2019-01-04 17:48:32,0.577s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebService/UpdateUser""))",,,2019-01-04 17:48:32,2019-01-04 17:48:33,0.851s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebService/DeleteUser""))",,,2019-01-04 17:48:33,2019-01-04 17:48:33,0.677s,PASSED
